Date : 2025-12-30 21:21:53
Directory : c:\Users\Abdessamed\Desktop\lokar
Total : 86 files,  3334 codes, 56 comments, 458 blanks, all 3848 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         18 |      1,704 |         29 |        159 |      1,892 |
| TypeScript     |         60 |      1,445 |         27 |        241 |      1,713 |
| Markdown       |          2 |        121 |          0 |         48 |        169 |
| PostCSS        |          1 |         24 |          0 |          6 |         30 |
| JavaScript     |          1 |         22 |          0 |          2 |         24 |
| HTML           |          1 |         13 |          0 |          1 |         14 |
| JSON           |          1 |          3 |          0 |          1 |          4 |
| XML            |          2 |          2 |          0 |          0 |          2 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |         86 |      3,334 |         56 |        458 |      3,848 |
| backend                                                                                                  |         54 |      1,160 |         17 |        211 |      1,388 |
| backend\src                                                                                              |         54 |      1,160 |         17 |        211 |      1,388 |
| backend\src (Files)                                                                                      |          2 |         63 |          0 |          6 |         69 |
| backend\src\api                                                                                          |          1 |          0 |          0 |          1 |          1 |
| backend\src\config                                                                                       |          3 |         23 |          0 |          5 |         28 |
| backend\src\dal                                                                                          |          5 |        252 |          3 |         28 |        283 |
| backend\src\modules                                                                                      |         39 |        754 |         12 |        161 |        927 |
| backend\src\modules\admin_panel                                                                          |          5 |         77 |          2 |         21 |        100 |
| backend\src\modules\admin_panel (Files)                                                                  |          1 |         22 |          2 |          6 |         30 |
| backend\src\modules\admin_panel\controllers                                                              |          2 |         47 |          0 |         11 |         58 |
| backend\src\modules\admin_panel\services                                                                 |          2 |          8 |          0 |          4 |         12 |
| backend\src\modules\agency                                                                               |          7 |         80 |          2 |         26 |        108 |
| backend\src\modules\auth                                                                                 |          9 |        232 |          6 |         38 |        276 |
| backend\src\modules\auth (Files)                                                                         |          3 |        115 |          0 |         14 |        129 |
| backend\src\modules\authZ                                                                                |          3 |         70 |          1 |          8 |         79 |
| backend\src\modules\auth\login                                                                           |          2 |         47 |          2 |         11 |         60 |
| backend\src\modules\auth\refresh                                                                         |          2 |         29 |          2 |          7 |         38 |
| backend\src\modules\auth\signup                                                                          |          2 |         41 |          2 |          6 |         49 |
| backend\src\modules\booking                                                                              |          6 |         92 |          0 |         22 |        114 |
| backend\src\modules\user                                                                                 |          3 |         38 |          1 |         12 |         51 |
